Fake Name,Station Name,Station No.,First Date,Line,Edition
North Wembley,North Wembley,72,01/02/2020,Bakerloo,ϙ2
Northwick Park,Northwick Park,77,01/02/2020,Metropolitan,ϙ2
Northwood,Northwood,164,01/08/2021,Metropolitan,ϙ6
Northwood Hills,Northwood Hills,165,01/08/2021,Metropolitan,ϙ6
Notting Hill Gate,Notting Hill Gate,2,05/12/2016,Circle//Central//District,α2//α2//ϙ2
Old Street,Old Street,102,23/09/2020,Northern,ϙ3
Osterley,Osterley,128,20/06/2021,Piccadilly,ϙ5
Oval,Oval,94,01/02/2020,Northern,ϙ2
Oxford Circus,Oxford Circus,31,13/12/2019,Central//Bakerloo//Victoria,ϙ1//ϙ1//ϙ2
Paddington (Met),Paddington (Legit),151,20/06/2021,Circle,ϙ5
Paddington (Praed St),Paddington (Praed St),1,05/12/2016,Circle//Bakerloo,α2//ϙ3
Perivale,Perivale,116,24/04/2021,Central,ϙ4 
Piccadilly Circus,Piccadilly Circus,32,13/12/2019,Bakerloo//Piccadilly,ϙ1//ϙ4
Pimlico,Pimlico,90,01/02/2020,Victoria,ϙ2
Pinner,Pinner,166,01/08/2021,Metropolitan,ϙ6
Preston Road,Preston Road,78,01/02/2020,Metropolitan,ϙ2
Queen's Park,Queen's Park,143,20/06/2021,Bakerloo,ϙ5
Queensway,Queensway,11,13/12/2019,Central,ϙ1
Ravenscourt Park,Ravenscourt Park,136,20/06/2021,District,ϙ5
Rayners Lane,Rayners Lane,169,01/08/2021,Metropolitan,ϙ6
Regent's Park,Regent's Park,41,13/12/2019,Bakerloo,ϙ1
Richmond,Richmond,141,20/06/2021,District,ϙ5
Royal Oak,Royal Oak,152,20/06/2021,Circle,ϙ5
Ruislip Gardens,Ruislip Gardens,120,24/04/2021,Central,ϙ4 
Russell Square,Russell Square,36,13/12/2019,Piccadilly,ϙ1
Seven Sisters,Seven Sisters,83,01/02/2020,Victoria,ϙ2
Shepherd's Bush,Shepherd's Bush,9,13/12/2019,Central,ϙ1
Shepherd's Bush Market,Shepherd's Bush Market,157,20/06/2021,Circle,ϙ5
Sloane Square,Sloane Square,13,13/12/2019,District//Circle,ϙ1//ϙ1
South Ealing,South Ealing,125,20/06/2021,Piccadilly,ϙ5
South Kensington,South Kensington,12,13/12/2019,District//Circle//Piccadilly,ϙ1//ϙ1//ϙ4
South Kenton,South Kenton,73,01/02/2020,Bakerloo,ϙ2
South Ruislip,South Ruislip,119,24/04/2021,Central,ϙ4 
Southwark,Southwark,23,13/12/2019,Jubilee,ϙ1
St. James's Park,St James's Park,15,13/12/2019,District//Circle,ϙ1//ϙ1
St. John's Wood,St John's Wood,50,14/12/2019,Jubilee,ϙ1
St. Paul's,St Paul's,53,31/01/2020,Central,ϙ2
Stamford Brook,Stamford Brook,137,20/06/2021,District,ϙ5
Stockwell,Stockwell,92,01/02/2020,Victoria//Northern,ϙ2//ϙ2
Stonebridge Park,Stonebridge Park,70,01/02/2020,Bakerloo,ϙ2
Stratford,Stratford,64,31/01/2020,Central,ϙ2
Swiss Cottage,Swiss Cottage,49,14/12/2019,Jubilee,ϙ1
Temple,Temple,18,13/12/2019,District,ϙ1
Tottenham Court Road,Tottenham Court Road,3,05/12/2016,Central//Northern,α2//ϙ1
Tottenham Hale,Tottenham Hale,84,01/02/2020,Victoria,ϙ2
Tower Hill,Tower Hill,59,31/01/2020,District//Circle,ϙ2//ϙ2
Turnham Green,Turnham Green (The Hardest Tick),138,20/06/2021,District//Piccadilly,ϙ5//ϙ5
Vauxhall,Vauxhall,91,01/02/2020,Victoria,ϙ2
Victoria,Victoria,14,13/12/2019,District//Circle//Victoria,ϙ1//ϙ1//ϙ2
Walthamstow Central,Walthamstow Central,86,01/02/2020,Victoria,ϙ2
Warren Street,Warren Street,89,01/02/2020,Victoria//Northern,ϙ2//ϙ5
Warwick Avenue,Warwick Avenue,146,20/06/2021,Bakerloo,ϙ5
Waterloo,Waterloo,24,13/12/2019,Jubilee//W&C//Bakerloo,ϙ1//ϙ2//ϙ2
Watford,Watford Met,161,01/08/2021,Metropolitan,ϙ6
Wembley Central,Wembley Central,71,01/02/2020,Bakerloo,ϙ2
Wembley Park,Wembley Park,43,14/12/2019,Metropolitan//Jubilee,ϙ1//ϙ1
West Acton,West Acton (Plan C),5,13/12/2019,Central,ϙ1
Westbourne Park,Westbourne Park,153,20/06/2021,Circle,ϙ5
West Brompton,West Brompton,27,13/12/2019,District,ϙ1
West Ham,West Ham,149,20/06/2021,Jubilee,ϙ5
West Hampstead,West Hampstead,48,14/12/2019,Jubilee,ϙ1
West Harrow,West Harrow,168,01/08/2021,Metropolitan,ϙ6
West Kensington,West Kensington,135,20/06/2021,District,ϙ5
Westminster,Westminster,16,13/12/2019,District//Jubilee//Circle,ϙ1//ϙ1//ϙ1
West Ruislip,West Ruislip (Borisland),121,24/04/2021,Central,ϙ4 
White City,White City,8,13/12/2019,Central,ϙ1
Willesden Green,Willesden Green,46,14/12/2019,Jubilee,ϙ1
Willesden Junction,Willesden Junction,68,01/02/2020,Bakerloo,ϙ2
Wood Lane,Wood Lane,156,20/06/2021,Circle,ϙ5
