Cité Universitaire,24/09/2023,Oui Oui Une
Denfert-Rochereau,24/09/2023,Oui Oui Une
Port-Royal,24/09/2023,Oui Oui Une
Luxembourg,24/09/2023,Oui Oui Une
St-Michel Notre Dame,24/09/2023,Oui Oui Une
Châtelet – Les Halles,24/09/2023,Oui Oui Une
Gare du Nord,24/09/2023,Oui Oui Une
Pont de l'Alma,24/09/2023,Oui Oui Une
Champ de Mars-Tour Eiffel,24/09/2023,Oui Oui Une
Avenue du Président Kennedy,24/09/2023,Oui Oui Une
